週,ブロック,フェーズ,曜日,セッション,順番,種目,メイン,セット,レップ,重量,kg,%1RM,RPE,休憩,対象,メモ,BJJメモ
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,4,8,85,85,67.5,7.5,3.5分,胸,2レップ余裕。肩甲骨をベンチに固定。,
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,3,8,97.5,97.5,,8,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,4,10,77.5,77.5,,8,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,3,8,自重,75,,8,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
1,肥大蓄積,MAV超,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,3,12,130,130,,8,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,1,ポーズデッドリフト（膝下1秒）,○,4,5,115,115,65,7.5,4分,後面,膝下で1秒止める。背中の角度を維持。ロックアウトで肩をすくめない。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,70,70,,8,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重,75,,8,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,12,45,45,,8,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,3,15,122.5,122.5,,8,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
1,肥大蓄積,MAV超,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,3,8,55,55,67.5,7.5,3.5分,肩,推定1RM基準。RPEが9なら翌週据え置き。,
1,肥大蓄積,MAV超,水,OHP＋腕・肩,2,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
1,肥大蓄積,MAV超,水,OHP＋腕・肩,3,スカルクラッシャー,,3,12,35,35,,8,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
1,肥大蓄積,MAV超,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,3,12,10,10,,8,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
1,肥大蓄積,MAV超,水,OHP＋腕・肩,5,バーベルカール,,3,10,30,30,,8,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,3,5,122.5,122.5,70,7.5,3.5分,四頭,週2四頭の木。月曜フロントと合わせてMEV以上。,
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,4,8,115,115,,8,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,3,スポトプレス,,3,8,80,80,,8,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,4,プレートフロントレイズ,,3,12,7.5,7.5,,8,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。水曜OHP日から移し、肩の日内集中を避ける。,
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,5,プレートリアデルトフライ,,3,15,5,5,,8,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。水曜から移して肩を分散。,姿勢を保つ肩甲骨周り。
1,肥大蓄積,MAV超,木,スクワット＋後面＋肩・胸,6,バーベルシュラッグ,,3,12,122.5,122.5,,8,1分15秒,僧帽,収縮1秒。首を前に出さない。僧帽の週内分散枠。,
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,1,フロアプレス,,3,10,85,85,,8,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,8,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,3,12,30,30,,8,45秒,二頭,BJJ用密度。休憩45秒。水曜カールと分け、金曜は高レップ寄り。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,3,12,自重,75,,8,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
1,肥大蓄積,MAV超,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,3,12,125,125,,8,1分15秒,僧帽,収縮1秒。首を前に出さない。金曜は中重量。セットは他日と分散した残り枠。,
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,4,8,87.5,87.5,70,8,3.5分,胸,トップまで伸ばし切る。手首は縦。,
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,4,8,100,100,,8.5,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,4,10,80,80,,8.5,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,3,8,自重,75,,8.5,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,3,15,7.5,7.5,,8.5,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
2,肥大蓄積,ビルド,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,3,12,132.5,132.5,,8.5,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,1,ポーズデッドリフト（膝下1秒）,○,4,5,117.5,117.5,67.5,8,4分,後面,バーは脛に沿わせる。尻が先に上がったら重量を下げる。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,72.5,72.5,,8.5,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重,75,,8.5,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,12,47.5,47.5,,8.5,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
2,肥大蓄積,ビルド,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,3,15,125,125,,8.5,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
2,肥大蓄積,ビルド,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,4,8,55,55,70,8,3.5分,肩,顎を引いてバーを顔の近くに通す。,
2,肥大蓄積,ビルド,水,OHP＋腕・肩,2,プレートサイドレイズ,,3,15,7.5,7.5,,8.5,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
2,肥大蓄積,ビルド,水,OHP＋腕・肩,3,スカルクラッシャー,,3,12,37.5,37.5,,8.5,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
2,肥大蓄積,ビルド,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,3,12,12.5,12.5,,8.5,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
2,肥大蓄積,ビルド,水,OHP＋腕・肩,5,バーベルカール,,3,10,32.5,32.5,,8.5,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
2,肥大蓄積,ビルド,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,3,5,127.5,127.5,72.5,8,3.5分,四頭,膝とつま先を同じ向きに。,
2,肥大蓄積,ビルド,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,4,8,117.5,117.5,,8.5,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
