週,ブロック,フェーズ,曜日,セッション,順番,種目,メイン,セット,レップ,重量,kg,%1RM,RPE,休憩,対象,メモ,BJJメモ
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,1,ベンチプレス,○,4,8,85,85,67.5,7.5,3.5分,胸,2レップ余裕。肩甲骨をベンチに固定。,
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,2,クローズグリップベンチ,,4,10,77.5,77.5,,8,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,3,懸垂（プロネイト）,,3,8,自重,75,,8,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,4,プレートサイドレイズ,,3,15,7.5,7.5,,8,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。,
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,5,バーベルシュラッグ,,4,12,130,130,,8,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。,襟を持つ姿勢の維持。
1,肥大蓄積,MAV超,月,ベンチ＋胸・肩,6,スカルクラッシャー,,3,12,35,35,,8,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。,エビ・ポストの肘伸ばし持久。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,1,ポーズデッドリフト（膝下1秒）,○,4,5,115,115,65,7.5,4分,後面,膝下で1秒止める。背中の角度を維持。ロックアウトで肩をすくめない。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,85,85,,8,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重,75,,8,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
1,肥大蓄積,MAV超,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,12,45,45,,8,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
